col	header	nonEmpty	empty	fillPct	uniqueRaw	uniqueTrim	uniqueNonEmpty	uniqueAllRows	num	dateSerial	text	bool	other	minLen	maxLen	persianDigits	latinDigits	arabicYeKaf	leadTrailSpace	multiSpace	numericAsText	dateLikeText	samples	topValues
1	ردیف	249	0	100	249	249	True	True	249	0	0	0	0	1	3	False	True	False	False	False	0	0	1 || 2 || 3 || 4 || 5 || 6 || 7 || 8 || 9 || 10	18=1 || 118=1 || 92=1 || 90=1 || 56=1 || 135=1
2	شماره کوتاژ	249	0	100	245	245	False	False	249	0	0	0	0	5	6	False	True	False	False	False	0	0	83439 || 83984 || 91619 || 127602 || 127638 || 127641 || 127653 || 127662 || 127665 || 127690	128710=4 || 128299=2 || 167524=1 || 167101=1 || 128608=1 || 181521=1
3	تاریخ کوتاژ	249	0	100	245	245	False	False	0	0	249	0	0	15	19	False	True	False	False	False	0	249	1398/6/7 10:53:8 || 1401/1/27 14:11:19 || 1398/12/4 12:54:56 || 1401/1/22 9:32:30 || 1401/1/22 9:36:7 || 1401/1/22 9:35:54 || 1401/1/22 9:35:23 || 1401/1/22 9:35:5 || 1401/1/22 8:58:53 || 1401/1/22 9:26:15	1401/2/5 10:27:47=4 || 1401/2/5 10:34:48=2 || 1403/3/20 21:11:37=1 || 1403/3/20 21:3:56=1 || 1403/2/1 14:53:38=1 || 1401/11/11 14:17:5=1
4	کد تعرفه	249	0	100	136	136	False	False	249	0	0	0	0	8	8	False	True	False	False	False	0	0	42022900 || 76161010 || 68138100 || 96140000 || 69074090 || 63014000 || 19053100 || 84134000 || 32091040 || 87087021	90015090=14 || 84073490=13 || 87042290=12 || 84089090=7 || 82071900=7 || 85423100=7
5	شرح کالا	249	0	100	152	152	False	False	0	0	249	0	0	3	105	False	True	True	False	True	0	0	لوازم جانبی موبایل || میخ پرچ به مارک TECH || لنت ترمز دوچرخه || قلیان الکترونیک و اسانس || سرامیک ابکاری شده با فلز گرانبها || پتو - روتختی -  حوله || بیسکویت || کمپرسور || رنگ || رینگ و لاستیک خودرو	ساعت مچی=15 || لوازم یدکی=11 || موتور خودرو=11 || لوازم یدکی خودرو=10 || لوازم=9 || مته دریل=5
6	وزن ناخالص	249	0	100	54	54	False	False	249	0	0	0	0	1	6	False	True	False	False	False	0	0	85 || 15 || 54 || 25 || 100 || 200 || 50 || 2000 || 1 || 20	10=34 || 50=22 || 20=18 || 2=17 || 5=17 || 15=16
7	ارزش ریالی کالا	249	0	100	123	123	False	False	249	0	0	0	0	6	12	False	True	False	False	False	0	0	63000000 || 3150000 || 21000000 || 229380000 || 3066000000 || 36700800 || 4200000 || 458760000 || 581340672 || 18350400	142500000=13 || 28500000=11 || 285000=11 || 57000000=10 || 285000000=7 || 42750000=7
8	ارزش ارزی اظهارنامه	249	0	100	74	74	False	False	249	0	0	0	0	1	7	False	True	False	False	False	0	0	1500 || 75 || 500 || 5000 || 73000 || 800 || 100 || 10000 || 12672 || 400	500=19 || 100=15 || 1500=12 || 200=12 || 1000=12 || 150=11
9	شماره قبض انبار	249	0	100	238	238	False	False	243	0	6	0	0	5	17	False	True	False	False	False	1	0	193119 || 1955870 || 131269 || 282680 || 265896 || 274920 || 503070 || 502795 || 501747 || 254517	136405=6 || 144381=4 || 114517=2 || 199050=2 || 131269=2 || 185234=1
10	محل ارزیابی	249	0	100	1	1	False	False	0	0	249	0	0	8	8	False	False	False	False	False	0	0	گمرک کیش	گمرک کیش=249
11	مرحله اظهارنامه	249	0	100	1	1	False	False	0	0	249	0	0	8	8	False	False	False	False	False	0	0	درب خروج	درب خروج=249
12	حقوق استنباطی گمرک	249	0	100	200	200	False	False	249	0	0	0	0	6	11	False	True	False	False	False	0	0	35537460 || 8218353 || 21258860 || 848000000 || 14462069841 || 138240000 || 5035000 || 378000000 || 1074585600 || 5725323	899000=6 || 9208000=6 || 17331443=4 || 67262500=4 || 21112951200=4 || 727297804=4
13	واریزی اموال تملیکی	249	0	100	1	1	False	False	249	0	0	0	0	1	1	False	True	False	False	False	0	0	0	0=249
14	وضعیت کالا	249	0	100	1	1	False	False	0	0	249	0	0	9	9	False	False	False	False	False	0	0	خارج نشده	خارج نشده=249
15	تاریخ اعلام به اموال تملیکی	249	0	100	167	167	False	False	0	3	246	0	0	8	33	False	True	False	False	False	53	193	1401/279997 || 1401/175788 || 1401/273632 || 11265592 || 11265607 || 1401/274665 || 1401/141558 || 1401/198129 || 99/198442 || 1401/201997	1401/175788=20 || 99/1216700=10 || 1401/273632=7 || ‪1404/03/05ش 11:17=5 || ‪1404/03/04ش 10:38=5 || ‪1404/03/05ش 11:12=5
16	تاریخ خروج کالا  از گمرک توسط اموال تملیکی	249	0	100	1	1	False	False	0	0	249	0	0	26	26	False	False	False	False	False	0	0	کالا از گمرک خارج نشده است	کالا از گمرک خارج نشده است=249
