ردیف	شماره کوتاژ	تاریخ کوتاژ	کد تعرفه	شرح کالا	وزن ناخالص	ارزش ریالی کالا	ارزش ارزی اظهارنامه	شماره قبض انبار	محل ارزیابی	مرحله اظهارنامه	حقوق استنباطی گمرک	واریزی اموال تملیکی	وضعیت کالا	تاریخ اعلام به اموال تملیکی	تاریخ خروج کالا  از گمرک توسط اموال تملیکی
1	83169	1398/6/6 7:12:7	85423100	آی سی-TA8207K	1	8400000	200	108405	گمرک کیش	درب خروج	1791510	0	در انتظار پرداخت	98/8/9-98/1028392	1400/1572777-1400/11/16
2	83172	1398/6/6 7:18:49	91029900	ساعت مچی	13.5	3360000	80	117475	گمرک کیش	درب خروج	2624586	0	در انتظار پرداخت	98/1028392	1402/02139652-1402/05/03
3	83226	1398/6/6 12:57:33	84717090	رم کامپیوتر	1	1260000	30	114930	گمرک کیش	درب خروج	233205	0	در انتظار پرداخت	98/8/9-98/1028392	1400/1572777-1400/11/16
4	83229	1398/6/6 13:11:13	85423100	آمپلی فایر-TAD2003V 10w car radio audio amplifier	1	3360000	80	111449	گمرک کیش	درب خروج	691530	0	در انتظار پرداخت	98/8/9-98/1028392	1400/1572777-1400/11/16
5	83238	1398/6/6 13:32:59	85423100	قطعه الکترونیکی فاقدکشور سازنده	44	126000000	3000	113888	گمرک کیش	درب خروج	27457710	0	در انتظار پرداخت	98/8/9-98/1028392	1400/1572777-1400/11/16
6	83244	1398/6/6 13:48:43	85122010	لوازم یدکی خودرو بنز	11	18900000	450	113543	گمرک کیش	درب خروج	8760885	0	در انتظار پرداخت	98/8/9-98/1028392	1400/1572777-1400/11/16
7	83256	1398/6/6 14:12:28	85423100	آ ی سی	3.5	10752000	256	108335	گمرک کیش	درب خروج	2304834	0	در انتظار پرداخت	98/8/9-98/1028392	1400/1572777-1400/11/16
8	83265	1398/6/6 14:22:46	85423100	آی سی	10	42000000	1000	113599	گمرک کیش	درب خروج	9124710	0	در انتظار پرداخت	98/8/9-98/1028392	1400/1572777-1400/11/16
9	83268	1398/6/6 14:27:46	85072010	نوار ویدیوئی-بالشتک صندلی وسنگ	4	420000	10	113961	گمرک کیش	درب خروج	396375	0	در انتظار پرداخت	98/8/9-98/1028392	1400/1572777-1400/11/16
10	83271	1398/6/6 14:33:7	84717090	قطعات کامپیوتر(رم)	11	12600000	300	114692	گمرک کیش	درب خروج	2708160	0	در انتظار پرداخت	98/8/9-98/1028392	1400/1572777-1400/11/16
11	83274	1398/6/6 14:37:38	91029900	ساعت مچی	11	4200000	100	109378	گمرک کیش	درب خروج	874860	0	در انتظار پرداخت	98/8/9-98/1028392	1400/1572777-1400/11/16
12	83277	1398/6/6 14:41:52	91029900	ساعت مچی	17	4200000	100	106749	گمرک کیش	درب خروج	874860	0	در انتظار پرداخت	98/8/9-98/1028392	1400/1572777-1400/11/16
13	83280	1398/6/6 14:46:48	91029900	ساعت مچی	22	7560000	180	110623	گمرک کیش	درب خروج	2237550	0	در انتظار پرداخت	98/8/9-98/1028392	1400/1572777-1400/11/16
