col	header	nonEmpty	empty	fillPct	uniqueRaw	uniqueTrim	uniqueNonEmpty	uniqueAllRows	num	dateSerial	text	bool	other	minLen	maxLen	persianDigits	latinDigits	arabicYeKaf	leadTrailSpace	multiSpace	numericAsText	dateLikeText	samples	topValues
1	ردیف	624	0	100	624	624	True	True	624	0	0	0	0	1	3	False	True	False	False	False	0	0	1 || 2 || 3 || 4 || 5 || 6 || 7 || 8 || 9 || 10	198=1 || 189=1 || 14=1 || 589=1 || 176=1 || 429=1
2	شماره کوتاژ	624	0	100	598	598	False	False	529	0	95	0	0	5	6	False	True	False	False	False	95	0	83169 || 83172 || 83226 || 83229 || 83238 || 83244 || 83256 || 83265 || 83268 || 83271	202770=8 || 202358=4 || 128710=4 || 202944=3 || 202632=2 || 202746=2
3	تاریخ کوتاژ	624	0	100	598	598	False	False	0	0	624	0	0	15	19	False	True	False	False	False	0	624	1398/6/6 7:12:7 || 1398/6/6 7:18:49 || 1398/6/6 12:57:33 || 1398/6/6 13:11:13 || 1398/6/6 13:32:59 || 1398/6/6 13:48:43 || 1398/6/6 14:12:28 || 1398/6/6 14:22:46 || 1398/6/6 14:27:46 || 1398/6/6 14:33:7	1404/10/16 11:17:33=8 || 1401/2/5 10:27:47=4 || 1404/9/19 14:9:33=4 || 1404/9/29 13:30:36=3 || 1404/9/17 7:49:45=2 || 1401/2/9 14:16:19=2
4	کد تعرفه	624	0	100	247	247	False	False	529	0	95	0	0	8	8	False	True	False	False	False	95	0	85423100 || 91029900 || 84717090 || 85122010 || 85072010 || 71049090 || 33030090 || 42023900 || 85234990 || 84715020	82075090=33 || 85369090=29 || 76161010=26 || 85423100=22 || 84073490=18 || 90015090=14
5	شرح کالا	624	0	100	372	372	False	False	0	0	624	0	0	2	105	False	True	True	False	True	0	0	آی سی-TA8207K || ساعت مچی || رم کامپیوتر || آمپلی فایر-TAD2003V 10w car radio audio amplifier || قطعه الکترونیکی فاقدکشور سازنده || لوازم یدکی خودرو بنز || آ ی سی || آی سی || نوار ویدیوئی-بالشتک صندلی وسنگ || قطعات کامپیوتر(رم)	مته دریل=22 || ساعت مچی=21 || لوازم جانبی موبایل=15 || لوازم=14 || میخ پرچ به مارک  ECH=13 || مته دریل به مارک HSS=13
6	وزن ناخالص	624	0	100	106	106	False	False	529	0	95	0	0	1	6	False	True	False	False	False	95	0	1 || 13.5 || 44 || 11 || 3.5 || 10 || 4 || 17 || 22 || 3	10=60 || 20=47 || 5=41 || 50=35 || 2=34 || 1=26
7	ارزش ریالی کالا	624	0	100	277	277	False	False	529	0	95	0	0	5	14	False	True	False	False	False	95	0	8400000 || 3360000 || 1260000 || 126000000 || 18900000 || 10752000 || 42000000 || 420000 || 12600000 || 4200000	142500000=20 || 420000=17 || 28500000=15 || 57000000=14 || 285000=12 || 85500000=10
8	ارزش ارزی اظهارنامه	624	0	100	168	168	False	False	529	0	95	0	0	1	7	False	True	False	False	False	95	0	200 || 80 || 30 || 3000 || 450 || 256 || 1000 || 10 || 300 || 100	500=32 || 200=31 || 100=30 || 400=24 || 10=21 || 300=21
9	شماره قبض انبار	624	0	100	590	590	False	False	523	0	101	0	0	5	17	False	True	False	False	False	96	0	108405 || 117475 || 114930 || 111449 || 113888 || 113543 || 108335 || 113599 || 113961 || 114692	526327=8 || 136405=6 || 541282=4 || 144381=4 || 509216=3 || 131269=2
10	محل ارزیابی	624	0	100	1	1	False	False	0	0	624	0	0	8	8	False	False	False	False	False	0	0	گمرک کیش	گمرک کیش=624
11	مرحله اظهارنامه	624	0	100	1	1	False	False	0	0	624	0	0	8	8	False	False	False	False	False	0	0	درب خروج	درب خروج=624
12	حقوق استنباطی گمرک	529	95	84.78	441	441	False	False	529	0	0	0	0	5	11	False	True	False	False	False	0	0	1791510 || 2624586 || 233205 || 691530 || 27457710 || 8760885 || 2304834 || 9124710 || 396375 || 2708160	899000=7 || 9208000=6 || 5417500=5 || 2226000=4 || 89350000=4 || 16314000=4
13	واریزی اموال تملیکی	624	0	100	1	1	False	False	624	0	0	0	0	1	1	False	True	False	False	False	0	0	0	0=624
14	وضعیت کالا	624	0	100	2	2	False	False	0	0	624	0	0	9	16	False	False	False	False	False	0	0	در انتظار پرداخت || خارج نشده	خارج نشده=386 || در انتظار پرداخت=238
15	تاریخ اعلام به اموال تملیکی	529	95	84.78	267	267	False	False	0	22	507	0	0	8	33	False	True	False	False	False	274	267	98/8/9-98/1028392 || 98/1028392 || 1401/141558 || 99/1216700 || 99/198442 || 1401/198102 || 1401/175788 || 1401/198104 || 99/2/30-99/198442 || 11265486	1401/175788=70 || 1401/1733281=35 || 99/1216700=32 || 99/2/30-99/198442=21 || 1401/273632=18 || 98/8/9-98/1028392=13
16	تاریخ خروج کالا  از گمرک توسط اموال تملیکی	624	0	100	6	6	False	False	0	0	624	0	0	21	26	False	True	False	False	False	204	280	1400/1572777-1400/11/16 || 1402/02139652-1402/05/03 || 1404/03/18 - 04135787 || 1402/2135536-1402/03/20 || 1404/1402541 - 1404/09/22 || کالا از گمرک خارج نشده است	کالا از گمرک خارج نشده است=344 || 1402/02139652-1402/05/03=107 || 1402/2135536-1402/03/20=63 || 1404/1402541 - 1404/09/22=42 || 1404/03/18 - 04135787=34 || 1400/1572777-1400/11/16=34
